Id_cliente,Edad,Genero,Venta_total,N_Compras,FechaCompra,MontoCompra,MetodoPago,Tiempo,Navegador,Boletín,Vale
217,44,1,"""648.76""",0,2025/02/01,  685.84  ,1,16.2,1,0,Femenino
218,27,1,-2376.23,4,2025/01/23,"393,49",5,38.1,3,0,0
219,46,1,516.76,6,12-08-2025,-1869.76,2,21.3,1,1,1
220,49,1,$1961.79,9,16-11-2025,693.14,2,7.2,2,0,0
221,28,Si,"1,213,10",6,2025-01-11,1349.23,1,0.7,3,0,1
222,39,0,2353.93,0,2025-02-17,841.46,1,31.7,1,1,1
223,23,0,  2044.99  ,2,14-04-2025,1102.87,3,1.3,1,0,0
224,69,0,"2,105,69",7,2025-04-18,  596.32  ,0,32.8,3,0,0
225,43,0,742.16,3,08-04-2025,"""2273.56""",1,2.9,3,1,0
226,28,Si,563.48,1,2025-05-05,1252.74,0,43.7,0,1,0
227,150,0,-168.43,7,28-11-2025,689.80,2,33.2,3,0,1
228,27,0,-567.23,5,2025/06/12,  1675.92  ,2,4.3,1,0,1
229,23,1,2041.89,0,2025/10/31,1508.55,1,31.5,2,1,1
230,46,0,257.87,10,21-11-2025,  1569.43  ,2,25.6,2,0,No
231,37,1,99.97,7,2025-05-06,1630.08,1,29.7,3,0,1
232,26,0,$1120.72,3,12/21/2025,  1628.76  ,99,20.8,4,0,1
233,37,0,1285.94,1,09-02-2025,  227.03  ,0,40.7,,1,0
234,31,0,"423,64",4,2025-08-14,1243.36,1,27.4,1,0,1
235,33,0,2271.60,7,2025/08/19,1123.57,0,20.6,5,0,
236,33,1,1280.91,7,15-03-2025,1881.83,1,37.6,1,3,0
237,59,1,"""1605.24""",10,21-01-2025,375.24,1,10.2,1,1,3
238,20,0,211.05,4,09/19/2025,476.97,1,40.5,1,1,0
239,53,0,2195.08,2,2025-02-20,"1,770,65",2,43.5,3,1,0
240,54,0,  155.56  ,0,2025-02-24,1496.94,5,20.3,0,1,0
241,37,0,-1104.19,3,03/16/2025,-112.84,2,1.3,0,1,1
242,70,1,1423.46,8,2025-04-18,"103,79",0,40.5,2,0,1
243,22,1,"2,359,04",1,2025/03/19,500.37,1,16.9,0,0,-1
244,69,0,1958.05,9,2025/04/03,1405.82,1,16.2,2,1,1
245,65,0,2344.08,3,2025/05/03,1049.37,0,10.4,3,1,0
246,34,1,1403.03,4,05/06/2025,401.50,2,36.8,1,0,0
247,58,0,"8,83",4,21-04-2025,  1106.22  ,-1,37.9,2,0,0
248,59,0,-1066.48,7,2025/02/13,2431.88,1,37.2,-1,0,0
249,44,1,  109.17  ,4,2025-02-14,  417.70  ,0,6.7,1,1,0
250,40,1,1532.69,10,2025-10-17,-1514.19,2,19.5,2,1,0
251,63,0,526.71,9,2025/12/25,57.12,0,0.8,4,0,0
252,31,1,187.21,10,11/15/2025,1384.40,2,5.6,3,10,1
253,30,0,2143.43,4,05-04-2025,1572.66,2,32.3,10,1,1
254,64,0,2111.23,5,20-09-2025,-1100.82,0,12.2,4,1,1
255,22,1,1109.83,8,02/13/2025,821.10,0,15.6,3,1,1
256,69,1,-1176.10,0,07/10/2025,620.93,0,5.4,3,,0
257,33,1,2360.73,0,2025-09-08,"""1826.13""",0,39.0,0,0,No
258,69,1,$341.17,0,2025-05-28,958.49,1,10.6,2,N/A,
259,53,1,1318.83,0,2025-09-21,$1461.45,1,34.6,0,0,0
260,33,0,  125.28  ,0,2025/06/19,"1,058,96",0,22.2,0,3,1
261,50,1,  1804.36  ,3,02/17/2025,$1796.03,2,32.5,3,0,
262,28,1,2484.61,6,2025-07-24,419.43,1,12.0,10,0,0
263,26,,2192.81,8,2025-01-01,1601.61,2,39.6,1,0,0
264,53,1,1776.10,6,2025-03-09,463.96,0,20.6,0,0,1
265,200,1,752.94,4,06-10-2025,1036.45,1,26.1,2,1,0
266,54,1,"""608.77""",4,24-06-2025,"1,454,00",1,17.5,3,1,1
267,53,10,1678.77,7,2025/03/09,1414.60,2,24.9,1,0,0
268,67,1,54.46,5,2025-04-25,"2,037,69",2,13.1,2,1,0
269,63,0,$142.29,1,07-10-2025,1869.99,1,17.8,2,1,1
270,32,0,-1352.10,4,2025-08-01,1133.07,2,42.2,0,1,-1
271,65,1,"2,441,32",6,09/20/2025,1262.33,1,6.3,1,0,0
272,21,1,-95.93,8,03/28/2025,"""1366.08""",1,43.2,1,0,1
273,35,1,1275.22,4,03-02-2025,643.74,1,31.1,3,1,0
274,33,0,"""1272.37""",5,02/23/2025,1569.08,1,14.1,0,1,0
275,45,0,2116.20,0,10-03-2025,1535.31,-1,22.4,5,10,1
276,38,1,"1,045,26",7,13-05-2025,1730.13,2,36.6,1,0,1
277,36,1,"""548.35""",6,03/04/2025,368.20,2,29.8,0,1,1
278,27,0,879.79,6,17-12-2025,926.90,-1,1.1,4,1,1
279,23,0,$1078.78,5,2025/04/22,645.84,0,37.7,4,0,1
280,23,Masculino,"579,60",8,04-05-2025,-40.74,1,32.4,1,1,0
281,32,0,1354.41,9,11/25/2025,"""2105.44""",1,6.4,2,0,0
282,61,0,  1259.60  ,9,06/01/2025,2035.29,3,20.0,2,1,0
283,25,1,1923.71,7,2025/10/23,1422.28,0,16.5,4,0,0
284,41,0,"1,671,42",7,12/09/2025,"""1603.91""",0,20.3,2,1,1
285,32,1,1406.41,5,2025-08-13,35.51,1,42.3,3,0,Sí
286,22,0,2283.71,5,11-06-2025,$632.46,2,38.7,4,0,0
287,29,0,2189.13,0,2025/01/26,"845,45",1,3.8,3,0,1
288,39,0,-378.52,0,03/12/2025,1498.82,2,27.3,2,0,1
289,57,0,2394.55,6,04/01/2025,2245.04,0,41.5,2,1,1
290,45,1,  807.14  ,5,2025-04-27,1545.49,2,39.7,0,0,0
291,67,0,276.28,4,2025-04-08,  26.82  ,0,17.5,2,1,0
292,29,0,1426.25,7,2025-05-12,108.37,0,36.6,0,0,0
293,33,0,-1999.71,1,09/14/2025,665.57,1,29.0,2,0,
294,24,Sí,$330.27,6,02/16/2025,$1443.17,3,23.0,2,1,0
295,52,0,946.23,2,07/24/2025,"1,569,15",2,20.9,1,1,0
296,50,1,525.10,10,11/23/2025,-2233.16,0,10.8,3,1,0
297,37,0,839.68,6,2025-06-16,1933.76,99,8.8,4,1,1
298,51,0,1677.81,8,08/04/2025,396.61,1,7.4,4,1,1
299,29,1,286.48,0,18-06-2025,1987.75,1,23.0,4,0,1
300,63,1,1495.42,8,09-12-2025,"""1114.99""",1,10.0,0,1,1
301,22,1,1224.51,3,2025/07/11,2387.01,1,18.3,4,5,0
302,70,1,2207.83,8,2025-11-17,1320.50,2,22.6,3,0,0
303,20,0,1767.14,6,2025/05/13,1176.00,0,14.7,1,1,0
304,38,0,929.14,1,2025/09/02,"""989.35""",0,26.0,3,1,0
305,34,0,2399.96,7,2025-02-03,1887.97,2,24.7,4,1,0
306,49,1,500.81,4,09/17/2025,1256.36,2,10.1,3,10,5
307,40,0,1822.36,5,2025-09-15,$40.27,2,24.6,0,0,0
308,28,0,204.89,5,2025/09/25,1353.70,2,22.9,3,0,0
309,28,3,1770.90,7,2025-11-21,609.60,2,44.7,2,0,1
310,54,0,1982.02,1,2025-09-08,1978.19,1,27.3,2,1,Femenino
311,150,0,1878.46,1,07-10-2025,2366.22,1,19.7,2,N/A,0
312,52,0,1632.87,2,07/07/2025,"""1372.71""",2,8.0,0,0,1
313,49,1,1733.45,10,2025-07-06,740.54,1,15.3,2,0,0
314,45,0,2113.79,5,10-12-2025,-2069.17,2,8.9,1,1,1
315,43,1,1383.87,10,10-06-2025,2262.95,1,7.3,1,0,1
316,30,1,404.91,5,12/14/2025,309.04,1,9.5,4,,N/A
317,58,0,$341.46,1,2025/09/17,2045.99,1,15.5,3,0,0
318,35,1,2025.92,8,13-12-2025,276.37,2,38.5,4,0,1
319,70,0,2150.74,3,2025/05/24,1437.78,0,3.7,4,1,0
320,54,0,1466.53,2,2025/12/11,600.54,2,12.9,4,1,99
321,39,1,1968.67,4,02/23/2025,"""114.06""",1,3.9,0,0,1
322,50,1,1365.00,2,15-10-2025,929.30,2,19.7,4,1,1
323,62,0,113.31,5,12/13/2025,  2337.57  ,2,20.8,3,1,0
324,18,Femenino,"""1633.36""",9,2025/12/14,  2216.56  ,0,22.7,3,0,1
325,34,1,$1681.37,4,2025-07-27,"""1827.40""",2,13.7,3,1,0
326,29,1,  776.32  ,4,2025/08/02,1086.32,0,36.8,2,1,0
327,24,1,2103.31,4,04-08-2025,229.00,99,14.3,1,0,0
328,47,0,534.16,8,03/27/2025,845.20,1,3.8,0,3,0
329,58,0,962.78,5,2025-07-25,"""973.54""",0,13.1,3,0,1
330,-5,0,1908.43,5,2025/10/28,2315.08,0,39.4,2,0,1
331,55,0,$1458.95,0,2025-10-08,938.66,5,9.3,3,0,0
332,22,1,1649.43,6,2025/12/01,  1688.07  ,1,13.1,4,1,1
333,70,1,1078.67,8,07/07/2025,1557.71,1,35.5,1,0,0
334,42,10,-125.83,4,09/27/2025,1231.08,2,15.1,2,0,1
335,20,0,1880.21,1,16-01-2025,-238.62,1,33.6,2,0,0
336,52,0,953.83,1,2025-07-13,1315.86,0,28.0,1,0,5
337,39,1,652.59,0,2025/10/01,356.35,0,31.8,4,1,0
338,59,1,212.14,5,2025/11/19,2196.48,0,20.9,3,0,0
339,66,1,"""1533.90""",2,12-09-2025,186.57,1,35.6,2,1,1
340,59,1,1107.83,5,2025/01/03,1766.16,1,35.1,4,,1
341,70,1,2497.72,1,2025/11/25,795.45,0,5.1,3,1,0
342,12,0,-295.19,9,01/20/2025,2015.02,2,14.3,2,0,0
343,48,0,2203.21,10,28-10-2025,-17.03,2,4.8,2,0,0
344,44,1,2006.69,6,07/05/2025,1052.64,2,35.8,3,1,1
345,27,1,1854.96,5,24-04-2025,1694.95,0,34.5,3,0,1
346,18,Masculino,"""366.31""",9,2025/01/06,"""2357.76""",0,42.7,4,0,1
347,35,1,-624.75,6,28-01-2025,24.27,0,8.1,1,1,1
348,56,1,1863.11,3,14-01-2025,1784.04,2,44.6,4,1,1
349,50,1,  1522.54  ,5,2025/04/06,-422.21,0,22.4,0,0,0
350,36,0,832.97,9,2025-08-04,1785.64,1,30.0,1,1,1
351,33,1,2063.59,4,2025/04/28,1299.64,0,29.2,0,0,0
352,23,10,2271.88,9,08-01-2025,-2296.01,1,38.7,2,0,0
353,23,0,2077.13,1,2025-06-28,1406.80,1,19.9,3,1,1
354,46,0,827.00,7,2025-04-02,141.37,5,17.6,2,0,
355,43,5,"""1813.26""",1,2025-06-16,2080.59,2,0.8,2,1,No
356,26,0,"""1526.99""",0,2025-10-22,1613.63,0,6.8,0,0,0
357,23,1,  1506.85  ,1,2025/12/02,1446.91,-1,40.6,3,Masculino,0
358,45,1,1488.93,1,2025-08-22,"""23.91""",1,44.3,4,1,0
359,59,1,293.38,3,05-03-2025,1189.94,2,43.3,4,0,0
360,34,1,117.40,8,2025-11-01,$1465.34,1,21.5,3,1,1
361,47,1,694.74,6,2025-07-11,1993.21,0,44.8,3,0,0
362,64,0,2199.96,7,08/03/2025,956.58,0,6.1,1,1,0
363,21,0,840.07,6,2025-09-28,1199.97,0,43.1,1,0,0
364,59,1,1503.45,5,2025/10/18,1054.31,2,22.8,3,1,3
365,66,0,"""474.39""",10,2025-10-14,  718.42  ,99,29.4,1,1,0
366,41,1,1874.84,5,2025/09/27,362.84,1,11.8,3,1,0
367,66,0,2257.21,2,19-01-2025,2496.99,0,26.0,10,1,0
368,63,1,1270.57,3,02/14/2025,555.92,3,4.9,0,1,Femenino
369,37,0,$1237.63,6,08/18/2025,595.88,2,2.1,0,0,1
370,69,No,1185.49,6,2025/03/23,2331.79,2,5.5,2,0,0
371,37,0,2059.07,2,10/22/2025,-1182.31,1,37.8,1,0,0
372,18,1,  1146.42  ,8,09/02/2025,1226.65,0,7.6,4,0,0
373,34,0,56.16,6,04/08/2025,  483.53  ,1,11.9,3,1,1
374,37,1,650.94,2,18-04-2025,"186,18",2,27.7,1,0,1
375,56,0,1909.01,6,2025-04-26,868.78,1,1.5,99,0,1
376,36,N/A,$435.24,4,2025/04/11,2065.73,0,25.8,0,1,1
377,36,0,1352.62,3,01/04/2025,1836.00,5,4.1,0,1,1
378,23,1,2196.60,2,03-06-2025,264.37,2,14.5,4,0,0
379,19,1,2041.67,4,07/13/2025,1554.47,2,39.7,0,0,-1
380,52,0,1212.55,4,03-03-2025,454.18,0,34.9,0,1,1
381,66,1,1256.88,3,2025/04/06,999.33,10,5.4,2,0,1
382,45,3,-1492.71,7,2025-10-18,637.51,0,3.1,4,,1
383,57,1,530.52,4,2025/08/27,812.17,1,40.9,3,0,1
384,61,1,"1,797,54",10,2025/10/07,1966.27,0,27.9,4,0,1
385,32,1,"588,90",8,2025/07/01,30.41,2,13.4,1,1,0
386,40,0,1432.40,1,05/22/2025,1712.82,2,31.5,2,0,0
387,150,5,"""2317.59""",7,2025/11/11,244.11,0,34.6,2,1,0
388,27,Sí,1627.21,1,2025/05/06,1342.28,2,8.7,2,3,0
389,24,0,2165.45,5,2025/07/15,"1,984,63",1,35.2,3,0,1
390,45,1,1969.50,5,2025-08-12,  1002.06  ,1,10.9,0,1,Si
391,39,1,-2020.14,10,2025/05/09,2130.33,2,24.9,5,0,0
392,32,1,1138.08,0,2025-11-21,-1656.51,1,9.1,0,0,0
393,24,,396.73,2,12-02-2025,$34.83,0,16.7,3,0,0
394,63,0,"2,483,50",5,2025/09/09,354.16,0,11.4,3,1,1
395,46,0,$500.48,1,2025-04-13,342.29,2,2.5,2,0,0
396,59,1,"10,84",4,04/18/2025,"319,61",0,21.9,0,0,1
397,45,0,-478.81,1,2025-06-14,166.92,0,39.7,2,-1,1
398,,1,1078.11,3,15-09-2025,2329.63,2,36.6,4,5,
399,64,0,960.79,3,2025/07/03,2400.18,10,18.9,2,1,Femenino
400,30,1,933.93,2,2025/07/12,1731.55,2,38.7,3,1,0
401,57,0,-694.55,5,2025-10-08,"1,602,63",3,37.7,4,1,5
402,18,1,61.56,8,2025/11/18,425.29,10,8.9,2,1,1
403,25,1,338.39,5,2025-09-08,581.17,0,27.9,3,0,0
404,49,3,1435.65,2,02/08/2025,"""1075.02""",0,4.9,4,1,0
405,12,Femenino,1491.62,7,2025/12/26,-2253.14,1,22.4,2,0,N/A
406,18,0,800.01,10,2025-11-28,"2,342,71",0,37.7,3,1,0
407,150,0,1580.44,9,2025-08-03,"2,183,31",2,35.7,3,1,0
408,60,0,241.51,0,2025-09-17,829.24,0,10.4,2,1,1
409,56,0,6.26,4,2025/05/15,786.68,0,32.5,2,1,0
410,60,0,295.88,8,2025-11-07,2483.78,1,32.3,99,1,1
411,70,0,2409.43,7,06/11/2025,-985.24,2,37.4,1,0,1
412,35,Femenino,  388.43  ,8,2025/09/23,  1540.64  ,0,38.5,2,0,1
413,33,1,976.06,2,2025/09/13,1801.13,0,19.5,0,0,1
414,58,1,31.74,3,2025/05/12,2299.27,1,38.9,2,0,Si
415,47,1,1068.82,3,2025-06-04,144.19,0,31.4,0,1,0
416,25,,  2461.50  ,0,2025/07/14,"""2444.58""",2,21.1,1,1,0
417,26,1,1460.00,8,04-11-2025,811.80,1,30.1,2,1,1
418,49,0,188.51,8,2025-02-12,2090.93,1,8.9,3,0,1
419,20,1,363.96,10,12-02-2025,1496.75,0,2.3,2,1,0
420,35,0,2430.59,2,2025-04-20,-1199.30,0,39.0,1,1,3
421,67,0,  278.61  ,1,06/01/2025,502.50,1,28.2,,1,10
422,40,1,737.57,1,2025-08-28,378.04,2,44.3,3,1,0
423,46,1,972.33,3,2025/01/20,1215.42,0,18.9,2,0,1
424,56,1,1307.45,6,2025/01/16,857.71,2,3.2,,1,No
425,34,1,2077.97,2,15-07-2025,"2,229,16",2,8.8,4,0,0
426,28,1,"""1315.42""",10,2025/07/15,2427.16,2,25.7,2,1,0
427,30,0,1104.35,0,24-10-2025,"910,45",2,43.6,0,0,1
428,63,1,672.26,4,17-01-2025,"908,02",0,36.4,3,Si,0
429,57,0,1497.96,6,24-05-2025,-32.46,0,27.4,2,1,Sí
430,22,0,739.50,0,2025/12/06,1924.78,99,31.1,2,0,0
431,40,1,2225.47,8,2025/06/17,1367.82,1,32.2,0,1,0
432,50,1,2001.21,6,2025/12/17,74.40,1,34.7,3,1,0
433,40,0,"""2151.49""",0,05/24/2025,623.54,2,26.4,0,0,1
434,26,0,1158.26,1,06/05/2025,1209.61,0,36.2,3,1,0
435,52,0,2223.44,1,26-02-2025,$1325.87,2,10.0,1,0,1
436,63,0,235.98,7,09/23/2025,1522.44,,14.0,99,0,0
437,37,1,1670.30,7,2025/05/15,14.21,2,19.5,1,1,Femenino
438,49,0,"""1899.27""",5,08-04-2025,-613.45,0,26.5,0,1,1
439,38,0,$2163.71,4,10/10/2025,2424.90,0,25.6,0,99,0
440,60,0,  2197.64  ,6,02/05/2025,179.83,2,28.0,3,0,0
441,51,0,-2275.40,8,09/11/2025,$232.13,1,2.8,0,0,0
442,65,0,437.74,3,05-10-2025,1814.59,2,30.9,2,0,0
443,200,0,"""2443.93""",10,21-07-2025,"""777.10""",1,40.4,0,0,1
444,53,,"2,042,88",4,20-05-2025,1999.24,0,36.2,10,0,1
445,40,0,-1981.54,2,2025/01/23,509.93,2,41.1,10,1,1
446,52,0,2434.70,9,2025/03/28,525.71,0,3.5,0,1,0
447,63,99,2128.41,2,2025/04/18,208.54,2,4.8,2,0,1
448,35,1,2449.81,3,2025-03-13,2447.01,1,3.0,1,0,0
449,59,1,"2,252,84",2,09-02-2025,939.95,1,26.1,0,0,0
450,52,1,-2184.26,1,10/19/2025,93.94,1,0.7,0,0,0
451,42,1,363.06,4,08-09-2025,  671.02  ,0,11.5,,0,0
452,63,0,960.07,3,2025/09/28,2466.33,0,2.2,0,1,1
453,19,0,1139.06,6,2025/12/11,347.62,2,38.9,3,0,1
454,62,1,  1673.97  ,4,25-10-2025,967.33,1,21.4,2,0,0
455,69,1,906.50,7,01-11-2025,"""1895.02""",2,13.2,1,0,0
456,66,0,2153.29,5,2025-01-05,1565.88,2,10.3,2,1,0
457,20,0,  1317.71  ,9,2025/10/13,43.03,1,32.1,10,1,1
458,36,0,125.72,9,05/27/2025,366.94,0,18.3,3,1,1
459,33,1,"""1630.55""",10,02/06/2025,1825.66,1,18.4,,0,0
460,61,0,"""2280.32""",8,2025-05-24,974.09,2,39.8,1,0,1
461,0,1,196.85,9,01/20/2025,  1338.45  ,1,35.4,4,Masculino,0
462,20,1,"1,726,83",10,2025/01/03,1169.43,,13.2,3,0,1
463,43,1,$639.77,10,12-09-2025,1598.77,2,33.6,3,1,0
464,47,0,114.66,1,2025-11-14,"""1878.82""",1,17.4,0,1,0
465,51,1,2378.98,9,10/19/2025,$551.87,0,17.1,2,1,3
466,60,0,-499.67,9,2025-11-28,1237.68,0,29.5,-1,0,1
467,28,0,1932.07,1,28-12-2025,103.99,1,17.3,0,0,0
468,46,1,1003.43,4,17-02-2025,2250.68,1,10.1,3,Sí,
